timestamp,a__int16__taskStackMaxUnusedSize
2024-11-07 19:40:36,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:41:06,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:41:36,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:42:06,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:42:36,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:43:06,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:43:36,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:44:06,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:44:36,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:45:06,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:45:36,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:46:06,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:46:36,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:47:06,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:47:36,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:48:07,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:48:37,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:49:07,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:49:37,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:50:07,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:50:37,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:51:07,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:51:37,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:52:07,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:52:37,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:53:07,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:53:37,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:54:07,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:54:37,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
2024-11-07 19:55:07,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1452, -1, -1, 324, -1, -1]"
